
dominio,nombre,descripcion
"AVISOS Y ALERTAS","ES_TITULAR_ACTIVO_AVISOS_ALERTAS","Tiene contrato activo de avisos y alertas"
"AVISOS Y ALERTAS","NO_TIENE_CONTRATO_AA","No tiene contrato activo de avisos y alertas"
"BDIS AUTONOMOS","TIENE_BANCA_A_DISTANCIA_AUTONOMO","Tiene banca a distancia autónomo activa"
"BDIS EMPRESAS","NO_TIENE_BANCA_A_DISTANCIA_EMPRESA","No tiene banca a distancia empresa"
"BDIS EMPRESAS","TIENE_BANCA_A_DISTANCIA_EMPRESA","Tiene banca a distancia empresa activa"
"BDIS PARTICULAR","NO_TIENE_BANCA_A_DISTANCIA","No tiene banca a distancia"
"BDIS PARTICULAR","SOLO_CONTRATOS_BDIS_AA","Solo contratos de banca distancia o avisos y alertas"
"BDIS PARTICULAR","TIPO_DE_FIRMA_DIGITAL_BSO","Tipo de firmas digitales (parámetro: VPTC1, VPTC2, etc.)"
"BDIS PARTICULAR","TIENE_BANCA_A_DISTANCIA","Tiene banca a distancia"
"BDIS TARJETAS SECUNDARIAS","TIENE_TARJETA_FIRMA_SECUNDARIA_PF_PARTICULARES","Tiene tarjetas secundarias de particulares activas"
"CUENTAS","MOVIMIENTOS_DOC_ASOCIADO","Tiene documento adjunto al movimiento"
"CUENTAS","NO_TIENE_CUENTA_CIALP","No tiene cuenta de ahorro CIALP"
"CUENTAS","NO_TIENE_CUENTA_VISTA","No tiene cuenta vista"
"CUENTAS","NO_TIENE_MOVIMIENTOS_EN_CUENTA","No tiene movimientos en cuenta"
"CUENTAS","TIENE_BLOQUEO_CUENTA_VISTA","Cuenta vista bloqueada"
"CUENTAS","TIENE_CUENTA_AHORRO","Tiene cuenta de ahorro"
"CUENTAS","TIENE_CUENTA_CIALP","Tiene cuenta de ahorro CIALP"
"CUENTAS","TIENE_CUENTA_SALDO_RETENIDO","Cuenta vista activa con saldo retenido"
"CUENTAS","TIENE_CUENTA_VALOR","Tiene cuenta valor"
"CUENTAS","TIENE_CUENTA_VISTA","Tiene cuenta vista"
"CUENTAS","TIENE_CUENTA_VISTA_EMPRESA","Tiene cuenta vista empresa"
"CUENTAS","TIENE_CUENTA_VISTA_INACTIVA","Tiene cuenta vista inactiva"
"CUENTAS","TIENE_FIRMA_EN_CONTRATO","Tiene firma conjunta o individual en contrato"
"CUENTAS","TIENE_IGUAL_CUENTAS_VISTA_EMPRESA_PARAMETRO","Tiene un número de cuentas vistas empresa (parámetro)"
"CUENTAS","TIENE_IGUAL_CUENTAS_VISTA_PARAMETRO","Tiene un número de cuentas vistas (parámetro)"
"CUENTAS","TIENE_MAS_DE_X_CUENTAS_VISTA_EMPRESA_PARAMETRO","Tiene más de X cuentas vistas empresa (parámetro)"
"CUENTAS","TIENE_MAS_DE_X_CUENTAS_VISTA_PARAMETRO","Tiene más de X cuentas vistas (parámetro)"
"CUENTAS","TIENE_MAS_DE_X_MOV_EN_CUENTA_PARAMETRO","Tiene más de X movimientos en cuenta (parámetro) en los últimos 6 meses"
"CUENTAS","TIENE_MOVIMIENTOS_EN_CUENTA","Tiene movimientos en cuenta en los últimos 6 meses"
"CUENTAS","TIENE_MOVIMIENTOS_CUENTA_FECHA","Número de movimientos en cuenta en una fecha menor a (parámetro en días)"
"CUENTAS","TIENE_MOVIMIENTOS_X_DIAS","Movimientos en cuenta desde (parámetro en días)"
"CUENTAS","TIENE_MENOS_DE_X_CUENTAS_VISTA_EMPRESA_PARAMETRO","Tiene menos de X cuentas vistas empresa (parámetro)"
"CUENTAS","TIENE_MENOS_DE_X_CUENTAS_VISTA_PARAMETRO","Tiene menos de X cuentas vistas (parámetro)"
"CUENTAS","TIENE_MENOS_DE_X_MOV_EN_CUENTA_PARAMETRO","Tiene menos de X movimientos en cuenta (parámetro) en los últimos 6 meses"
"CUENTAS","TIENE_TIPO_MOVIMIENTO_CUENTA","Tipo de movimientos en cuenta"
"LINEA CREDITO","NO_TIENE_LINEA_EXPANSION_ACTIVA","No tiene línea de crédito activa"
"LINEA CREDITO","TIENE_IGUAL_X_LINEAS_EXPANSION","Tiene X líneas de crédito activas"
"LINEA CREDITO","TIENE_LINEA_EXPANSION_ACTIVA","Tiene línea de crédito activa"
"PERSONA","DOC_CADUCADO","Persona con documento caducado"
"PERSONA","DOC_VIGENTE","Documento vigente, no caducado (más de 15 días de validez)"
"PERSONA","ES_AUTONOMO","Es autónomo"
"PERSONA","ES_PERSONA_FISICA","Es persona física"
"PERSONA","ES_PERSONA_FISICA_RESIDENTE","Es persona física residente"
